timeOpen,timeClose,timeHigh,timeLow,open,high,low,close,volume,marketCap,timestamp
2021-10-13T00:00:00.000Z,"""2021-10-13T23:59:59.999Z""","""2021-10-13T10:56:08.000Z""","""2021-10-13T01:00:08.000Z""",0.9999202899,1.0007567092,0.9994848045,1.0000967072,78117249743.42,68785721496.1,"""2021-10-13T23:59:59.999Z"
2021-10-12T00:00:00.000Z,"""2021-10-12T23:59:59.999Z""","""2021-10-12T08:54:08.000Z""","""2021-10-12T23:58:08.000Z""",1.0006191015,1.0010323769,0.9999793492,1.0000963991,73275476507.76,68715693559.52,"""2021-10-12T23:59:59.999Z"
2021-10-11T00:00:00.000Z,"""2021-10-11T23:59:59.999Z""","""2021-10-11T00:29:09.000Z""","""2021-10-11T08:47:09.000Z""",1.0009520128,1.0011451354,0.9998277906,1.0006955541,75741431317.18,68452149144.39,"""2021-10-11T23:59:59.999Z"
2021-10-10T00:00:00.000Z,"""2021-10-10T23:59:59.999Z""","""2021-10-10T22:02:09.000Z""","""2021-10-10T17:46:09.000Z""",1.0001279553,1.0011256084,0.9994656201,1.0010175214,69927661417.7,68474173177.09,"""2021-10-10T23:59:59.999Z"
2021-10-09T00:00:00.000Z,"""2021-10-09T23:59:59.999Z""","""2021-10-09T08:19:09.000Z""","""2021-10-09T01:38:09.000Z""",1.0000042655,1.0004102893,0.999915073,1.0000463303,67391135101.91,68403339065.76,"""2021-10-09T23:59:59.999Z"
2021-10-08T00:00:00.000Z,"""2021-10-08T23:59:59.999Z""","""2021-10-08T15:17:09.000Z""","""2021-10-08T13:16:09.000Z""",1.0004063753,1.0004657859,0.9997902791,1.0001163838,79865522044.91,68223008800.67,"""2021-10-08T23:59:59.999Z"
2021-10-07T00:00:00.000Z,"""2021-10-07T23:59:59.999Z""","""2021-10-07T06:58:09.000Z""","""2021-10-07T17:44:09.000Z""",1.0004772175,1.0011493874,0.9995547507,1.0003747812,91580420731.13,68069571311.32,"""2021-10-07T23:59:59.999Z"
2021-10-06T00:00:00.000Z,"""2021-10-06T23:59:59.999Z""","""2021-10-06T12:43:09.000Z""","""2021-10-06T16:34:09.000Z""",1.0004559541,1.0011977277,0.9993434953,1.0003165679,96553805179.98,68045603913.53,"""2021-10-06T23:59:59.999Z"
2021-10-05T00:00:00.000Z,"""2021-10-05T23:59:59.999Z""","""2021-10-05T19:38:09.000Z""","""2021-10-05T05:49:08.000Z""",0.9998579642,1.0010393061,0.9994855618,1.0004396309,76210707721.61,68053975157.92,"""2021-10-05T23:59:59.999Z"
2021-10-04T00:00:00.000Z,"""2021-10-04T23:59:59.999Z""","""2021-10-04T05:58:09.000Z""","""2021-10-04T23:19:08.000Z""",1.0002588919,1.0005844176,0.999391455,0.999837925,74166327976.38,68013044673.11,"""2021-10-04T23:59:59.999Z"
