timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;timestamp
"2022-06-28T00:00:00.000Z";"2022-06-28T23:59:59.999Z";"2022-06-28T16:33:00.000Z";"2022-06-28T18:24:00.000Z";0.9991036351;0.9991337689;0.9987817864;0.9988316726;40773930242.11;66756834295.86;"2022-06-28T23:59:59.999Z"
"2022-06-27T00:00:00.000Z";"2022-06-27T23:59:59.999Z";"2022-06-27T11:09:00.000Z";"2022-06-27T23:30:00.000Z";0.9994582439;0.9995985914;0.9989840864;0.9990922615;39296953700.03;66806562259.11;"2022-06-27T23:59:59.999Z"
"2022-06-26T00:00:00.000Z";"2022-06-26T23:59:59.999Z";"2022-06-26T01:03:00.000Z";"2022-06-26T23:26:00.000Z";0.9995512209;0.9995953595;0.9993743106;0.9993975555;37228683269.58;66827166314.21;"2022-06-26T23:59:59.999Z"
"2022-06-25T00:00:00.000Z";"2022-06-25T23:59:59.999Z";"2022-06-25T21:51:00.000Z";"2022-06-25T00:52:00.000Z";0.9993363699;0.9996112065;0.999273322;0.9995483396;36390241724.68;66837248865.23;"2022-06-25T23:59:59.999Z"
"2022-06-24T00:00:00.000Z";"2022-06-24T23:59:59.999Z";"2022-06-24T13:20:00.000Z";"2022-06-24T03:06:00.000Z";0.9992586292;0.9995038271;0.999136683;0.9993251318;46919267632.39;66932224077.7;"2022-06-24T23:59:59.999Z"
"2022-06-23T00:00:00.000Z";"2022-06-23T23:59:59.999Z";"2022-06-23T16:28:00.000Z";"2022-06-23T00:24:00.000Z";0.9990961372;0.9993281297;0.9988981291;0.9992796155;43198538082.28;66931473859.16;"2022-06-23T23:59:59.999Z"
"2022-06-22T00:00:00.000Z";"2022-06-22T23:59:59.999Z";"2022-06-22T21:06:00.000Z";"2022-06-22T07:08:00.000Z";0.999093199;0.9991255852;0.99887237;0.9990952729;46130025676.04;66920425462.93;"2022-06-22T23:59:59.999Z"
"2022-06-21T00:00:00.000Z";"2022-06-21T23:59:59.999Z";"2022-06-21T15:37:00.000Z";"2022-06-21T01:48:00.000Z";0.9989705996;0.9992057287;0.9988976295;0.9990938239;50165859625.82;67433922183.48;"2022-06-21T23:59:59.999Z"
"2022-06-20T00:00:00.000Z";"2022-06-20T23:59:59.999Z";"2022-06-20T14:56:00.000Z";"2022-06-20T07:24:00.000Z";0.9989473424;0.9991112088;0.9986290807;0.9989572314;52157987687.81;67853470373.86;"2022-06-20T23:59:59.999Z"
"2022-06-19T00:00:00.000Z";"2022-06-19T23:59:59.999Z";"2022-06-19T20:48:00.000Z";"2022-06-19T09:21:00.000Z";0.9986559894;0.9990122053;0.9984701397;0.998969481;55603476684.01;68102975881.96;"2022-06-19T23:59:59.999Z"
"2022-06-18T00:00:00.000Z";"2022-06-18T23:59:59.999Z";"2022-06-18T01:32:00.000Z";"2022-06-18T20:53:00.000Z";0.9990181799;0.9990446933;0.998454301;0.9986666718;61973128141.13;68140021287.09;"2022-06-18T23:59:59.999Z"
"2022-06-17T00:00:00.000Z";"2022-06-17T23:59:59.999Z";"2022-06-17T22:39:00.000Z";"2022-06-17T00:04:00.000Z";0.9989507577;0.9990737323;0.9986807045;0.9990362133;43836219286.89;69157599589.84;"2022-06-17T23:59:59.999Z"
"2022-06-16T00:00:00.000Z";"2022-06-16T23:59:59.999Z";"2022-06-16T11:15:00.000Z";"2022-06-16T21:11:00.000Z";0.9989203975;0.999134073;0.9986422251;0.9989303128;52400892767.21;69963896405.68;"2022-06-16T23:59:59.999Z"
"2022-06-15T00:00:00.000Z";"2022-06-15T23:59:59.999Z";"2022-06-15T01:59:00.000Z";"2022-06-15T09:36:00.000Z";0.9989344434;0.9990230647;0.998182911;0.9989415603;89017006423.44;70795502508.22;"2022-06-15T23:59:59.999Z"
"2022-06-14T00:00:00.000Z";"2022-06-14T23:59:59.999Z";"2022-06-14T18:39:00.000Z";"2022-06-14T00:02:00.000Z";0.9986015196;0.9991076693;0.9985554959;0.9989537752;81024425504.69;71524221503.43;"2022-06-14T23:59:59.999Z"
"2022-06-13T00:00:00.000Z";"2022-06-13T23:59:59.999Z";"2022-06-13T03:21:00.000Z";"2022-06-13T11:24:00.000Z";0.999068604;0.9991262048;0.9975466726;0.9985937157;107410569162.1;72192315410;"2022-06-13T23:59:59.999Z"
"2022-06-12T00:00:00.000Z";"2022-06-12T23:59:59.999Z";"2022-06-12T01:52:00.000Z";"2022-06-12T17:11:00.000Z";0.9990143089;0.9991489529;0.9988415609;0.9990795811;59051274982.63;72428255698.57;"2022-06-12T23:59:59.999Z"
"2022-06-11T00:00:00.000Z";"2022-06-11T23:59:59.999Z";"2022-06-11T07:53:00.000Z";"2022-06-11T23:56:00.000Z";0.9991821676;0.9993077169;0.999009354;0.9990247197;48736816875.81;72424278519.53;"2022-06-11T23:59:59.999Z"
"2022-06-10T00:00:00.000Z";"2022-06-10T23:59:59.999Z";"2022-06-10T00:07:00.000Z";"2022-06-10T23:25:00.000Z";0.9993517445;0.999445119;0.9991088269;0.9991795944;49685289880.95;72438004110.59;"2022-06-10T23:59:59.999Z"
